Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,Empty,Empty,Empty,Empty,Empty,energy_above_hull (meV/atom),formation_energy (eV/atom)
Ba1Sr7V8O24,Ba,Sr,,V,,,O,4,,,,,,29.74770732,-2.113334555
Ba2Bi2Pr4Co8O24,Ba,Bi,Pr,Co,,,O,5,,,,,,106.702335,-1.311862585
Ba2Ca6Fe8O24,Ba,Ca,,Fe,,,O,4,,,,,,171.6080933,-1.435607274
Ba2Cd2Pr4Ni8O24,Ba,Cd,Pr,Ni,,,O,5,,,,,,284.8981896,-0.868639335
Ba2Dy6Fe8O24,Ba,Dy,,Fe,,,O,4,,,,,,270.0079129,-1.746806189
Ba2Gd6Fe8O24,Ba,Gd,,Fe,,,O,4,,,,,,70.97342159,-1.903261754
Ba2Ho6Fe8O24,Ba,Ho,,Fe,,,O,4,,,,,,291.384616,-1.730646902
Ba2La6Co8O24,Ba,La,,Co,,,O,4,,,,,,59.63498938,-1.663537668
Ba2La6Cr8O24,Ba,La,,Cr,,,O,4,,,,,,16.66840972,-2.244336479
Ba2La6Fe8O24,Ba,La,,Fe,,,O,4,,,,,,0,-2.003512701
Ba2La6Ga8O24,Ba,La,,Ga,,,O,4,,,,,,94.50620971,-2.142007386
Ba2La6Mn8O24,Ba,La,,Mn,,,O,4,,,,,,43.36372073,-2.058584002
Ba2La6Ni8O24,Ba,La,,Ni,,,O,4,,,,,,162.3085821,-1.335043043
Ba2La6Sc8O24,Ba,La,,Sc,,,O,4,,,,,,14.09444405,-3.002093623
Ba2La6Ti8O24,Ba,La,,Ti,,,O,4,,,,,,14.81005156,-2.830398081
Ba2La6V8O24,Ba,La,,V,,,O,4,,,,,,53.85203387,-2.352156953
Ba2Mg6Fe8O24,Ba,Mg,,Fe,,,O,4,,,,,,515.8053305,-1.014907035
Ba2Nd6Fe8O24,Ba,Nd,,Fe,,,O,4,,,,,,132.8149808,-1.819950909
Ba2Pr6Co8O24,Ba,Pr,,Co,,,O,4,,,,,,62.49404951,-1.60742447
Ba2Pr6Cr8O24,Ba,Pr,,Cr,,,O,4,,,,,,33.65498379,-2.125968031
Ba2Pr6Fe8O24,Ba,Pr,,Fe,,,O,4,,,,,,58.88531967,-1.881720753
Ba2Pr6Ga8O24,Ba,Pr,,Ga,,,O,4,,,,,,155.4650781,-2.022670188
Ba2Pr6Mn8O24,Ba,Pr,,Mn,,,O,4,,,,,,51.30901636,-2.003141803
Ba2Pr6Ni8O24,Ba,Pr,,Ni,,,O,4,,,,,,162.8921755,-1.281903845
Ba2Pr6Sc8O24,Ba,Pr,,Sc,,,O,4,,,,,,65.98496318,-2.896167925
